WGS84_1;WGS84_2;LV95_1;LV95_2
7.266111363;47.12720919;2586910;1219595
7.285393477;47.12697583;2588373;1219566
7.269371979;47.12554102;2587157;1219409
7.257022375;47.12194209;2586219;1219011
7.268319191;47.12506272;2587077;1219356
7.264420447;47.12439122;2586781;1219282
7.280696917;47.12412705;2588016;1219250
7.268056192;47.12488243;2587057;1219336
7.281702893;47.12263529;2588092;1219084
7.270491106;47.12588447;2587242;1219447
7.279108055;47.12220894;2587895;1219037
7.280391936;47.12475627;2587993;1219320
7.273115994;47.12515972;2587441;1219366
7.268604871;47.12639439;2587099;1219504
7.280899503;47.12247228;2588031;1219066
7.272112602;47.12573394;2587365;1219430
7.271275265;47.1195982;2587300;1218748
7.269858942;47.12574862;2587194;1219432
7.264955781;47.12592117;2586822;1219452
7.291249364;47.12543643;2588817;1219394
7.27828391;47.12456444;2587833;1219299
7.27227179;47.12540136;2587377;1219393
7.270492016;47.12559664;2587242;1219415
7.276208459;47.12665731;2587676;1219532
7.27114966;47.12601137;2587292;1219461
7.297025962;47.12879883;2589256;1219767
7.273594505;47.12384716;2587477;1219220
7.271070189;47.12613718;2587286;1219475
7.277442942;47.12809824;2587770;1219692
7.280129997;47.12420722;2587973;1219259
7.276753514;47.12511097;2587717;1219360
7.284018231;47.12402366;2588268;1219238
7.274475467;47.12449606;2587544;1219292
7.269741388;47.12541563;2587185;1219395
7.272944782;47.1251235;2587428;1219362
7.268487151;47.12611537;2587090;1219473
7.267312999;47.1264914;2587001;1219515
7.276785454;47.12327606;2587719;1219156
7.266539589;47.12520397;2586942;1219372
7.277116157;47.12720729;2587745;1219593
7.2762296;47.12836637;2587678;1219722
7.271112813;47.1251568;2587289;1219366
7.274525795;47.12954226;2587549;1219853
7.277991529;47.12101105;2587810;1218904
7.274946295;47.12138451;2587579;1218946
7.282252226;47.12404824;2588134;1219241
7.271109698;47.12614623;2587289;1219476
7.278246352;47.12827927;2587831;1219712
7.281913559;47.12269854;2588108;1219091
7.282267071;47.12348158;2588135;1219178
7.268421313;47.12609729;2587085;1219471
7.286651549;47.12486372;2588468;1219331
7.280132999;47.1231998;2587973;1219147
7.279900056;47.12618578;2587956;1219479
7.281464569;47.12301275;2588074;1219126
7.286215207;47.12536685;2588435;1219387
7.275430197;47.12688107;2587617;1219557
7.276003504;47.12472312;2587660;1219317
7.279738428;47.1229384;2587943;1219118
7.267455134;47.12737311;2587012;1219613
7.276684874;47.12168382;2587711;1218979
7.265325232;47.12578681;2586850;1219437
7.273002061;47.12365741;2587432;1219199
7.274352832;47.12580015;2587535;1219437
7.276739967;47.12090134;2587715;1218892
7.277537405;47.12736979;2587777;1219611
7.275203305;47.12351667;2587599;1219183
7.266216798;47.12720934;2586918;1219595
7.274233943;47.12588992;2587526;1219447
7.280233015;47.1250169;2587981;1219349
7.276470846;47.12272692;2587695;1219095
7.257646176;47.12063882;2586266;1218866
7.268186568;47.12532338;2587067;1219385
7.275511042;47.12200597;2587622;1219015
7.267385668;47.12438671;2587006;1219281
7.269776452;47.12267225;2587187;1219090
7.276142077;47.12250158;2587670;1219070
7.280536181;47.12499933;2588004;1219347
7.276390213;47.12323952;2587689;1219152
7.266183935;47.12514947;2586915;1219366
7.27105752;47.12597526;2587285;1219457
7.285834079;47.12499755;2588406;1219346
7.275548067;47.12282455;2587625;1219106
7.288563053;47.12465937;2588613;1219308
7.288865833;47.1247767;2588636;1219321
7.273325067;47.1257357;2587457;1219430
7.275805685;47.12476782;2587645;1219322
7.270650845;47.125381;2587254;1219391
7.274334612;47.12316462;2587533;1219144
7.276298129;47.12318542;2587682;1219146
7.281807364;47.12295925;2588100;1219120
7.272828134;47.12449368;2587419;1219292
7.271056727;47.12622711;2587285;1219485
7.28156062;47.12618807;2588082;1219479
7.277446513;47.12691992;2587770;1219561
7.280189433;47.12637507;2587978;1219500
7.280743517;47.12618694;2588020;1219479
7.264400244;47.12251126;2586779;1219073
7.281488694;47.12376835;2588076;1219210
7.280453738;47.12613257;2587998;1219473
7.279399143;47.12622106;2587918;1219483
7.278216095;47.12083147;2587827;1218884
7.265244693;47.12623643;2586844;1219487
7.28895773;47.12490275;2588643;1219335
7.273126823;47.12591531;2587442;1219450
7.258569346;47.1204244;2586336;1218842
7.279729695;47.12586172;2587943;1219443
7.266072963;47.12685833;2586907;1219556
7.283108095;47.12430127;2588199;1219269
7.27489364;47.12564801;2587576;1219420
7.264666989;47.12556993;2586800;1219413
7.274185091;47.12463956;2587522;1219308
7.284499997;47.12603916;2588305;1219462
7.269582127;47.1257662;2587173;1219434
7.271360044;47.12616459;2587308;1219478
7.276244729;47.12772775;2587679;1219651
7.272070953;47.12640849;2587362;1219505
7.282427034;47.12286116;2588147;1219109
7.279866371;47.12422485;2587953;1219261
7.26848879;47.12560267;2587090;1219416
7.281578526;47.12458701;2588083;1219301
7.275213057;47.12463205;2587600;1219307
7.266907203;47.12563628;2586970;1219420
7.264626835;47.12575876;2586797;1219434
7.276972551;47.12675734;2587734;1219543
7.286348979;47.12467443;2588445;1219310
7.278346036;47.12581481;2587838;1219438
7.276597341;47.12446312;2587705;1219288
7.280494532;47.12570987;2588001;1219426
7.269360116;47.12512723;2587156;1219363
7.279614096;47.12485414;2587934;1219331
7.262966822;47.12160058;2586670;1218972
7.270673795;47.12646042;2587256;1219511
7.273143835;47.12468304;2587443;1219313
7.284942366;47.12345823;2588338;1219175
7.275838368;47.12700759;2587648;1219571
7.282068547;47.12376915;2588120;1219210
7.275903081;47.12739446;2587653;1219614
7.297630941;47.1292853;2589302;1219821
7.281903249;47.12619754;2588108;1219480
7.285713142;47.12580693;2588397;1219436
7.275584928;47.12369711;2587628;1219203
7.281594733;47.12356161;2588084;1219187
7.276737707;47.12597445;2587716;1219456
7.278797905;47.12455617;2587872;1219298
7.264996139;47.12566937;2586825;1219424
7.269676408;47.1251277;2587180;1219363
7.273477379;47.12337027;2587468;1219167
7.265934997;47.12469935;2586896;1219316
7.27952362;47.12426035;2587927;1219265
7.277260993;47.12725247;2587756;1219598
7.279720198;47.12462941;2587942;1219306
7.278628531;47.1239083;2587859;1219226
7.272190016;47.12626475;2587371;1219489
7.269784443;47.12015369;2587187;1218810
7.279452678;47.1215438;2587921;1218963
7.280752701;47.12309272;2588020;1219135
7.265626653;47.12630896;2586873;1219495
7.272562877;47.12503299;2587399;1219352
7.27691948;47.12253867;2587729;1219074
7.269992215;47.12528108;2587204;1219380
7.266322757;47.1270476;2586926;1219577
7.278317559;47.12214486;2587835;1219030
7.27615803;47.12159312;2587671;1218969
7.265353406;47.12522917;2586852;1219375
7.276286903;47.12686431;2587682;1219555
7.285403429;47.12352182;2588373;1219182
7.283648471;47.12428401;2588240;1219267
7.277957895;47.12778415;2587809;1219657
7.297775371;47.12949236;2589313;1219844
7.276844015;47.12568677;2587724;1219424
7.271731992;47.12522967;2587336;1219374
7.273344617;47.12368489;2587458;1219202
7.275309643;47.12321999;2587607;1219150
7.275424038;47.12029681;2587615;1218825
7.266082296;47.12397998;2586907;1219236
7.278143711;47.12735265;2587823;1219609
7.280950136;47.12317395;2588035;1219144
7.267856548;47.12549379;2587042;1219404
7.285212081;47.12589621;2588359;1219446
7.267317835;47.12498927;2587001;1219348
7.270996103;47.12455397;2587280;1219299
7.27824337;47.12489719;2587830;1219336
7.265841549;47.125068;2586889;1219357
7.284598608;47.12384455;2588312;1219218
7.265902859;47.12648029;2586894;1219514
7.266502147;47.12455629;2586939;1219300
7.281443815;47.12557626;2588073;1219411
7.280665297;47.125899;2588014;1219447
7.276539117;47.126271;2587701;1219489
7.279634883;47.12230861;2587935;1219048
7.280032276;47.12604204;2587966;1219463
7.271746017;47.12495984;2587337;1219344
7.266980386;47.12746235;2586976;1219623
7.266494757;47.12684097;2586939;1219554
7.267185409;47.12518696;2586991;1219370
7.265757216;47.12668695;2586883;1219537
7.269506455;47.1246957;2587167;1219315
7.273827233;47.12529567;2587495;1219381
7.280800424;47.12477483;2588024;1219322
7.27341104;47.12351409;2587463;1219183
7.270270849;47.12468783;2587225;1219314
7.273751142;47.12433311;2587489;1219274
7.268299312;47.12303885;2587075;1219131
7.269217956;47.12424553;2587145;1219265
7.265748508;47.12531072;2586882;1219384
7.268379936;47.12255324;2587081;1219077
7.266731688;47.11877292;2586955;1218657
7.272348952;47.12601312;2587383;1219461
7.259223287;47.1218916;2586386;1219005
7.267098885;47.12749851;2586985;1219627
7.271366237;47.12419472;2587308;1219259
7.266878551;47.12634683;2586968;1219499
7.276494954;47.12346454;2587697;1219177
7.282799822;47.12606384;2588176;1219465
7.263660177;47.11913705;2586722;1218698
7.281982853;47.12601775;2588114;1219460
7.285329292;47.12638209;2588368;1219500
7.270838508;47.12020022;2587267;1218815
