,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2505408,102883843,10180446,504032208,0,Tulpenweg,4a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587105,1219367
2505571,102883870,10086640,504032283,0,Orpundstrasse,34c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588691,1219366
2505572,102883850,10086640,504032144,0,Orpundstrasse,23d,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588461,1219314
2505584,102883536,10010261,504032266,0,Pfeidstrasse,4e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587767,1219180
2505586,102883739,10010246,504032464,0,Bielstrasse,66a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587020,1219296
2505628,102883820,10086636,504032455,0,Burgersriedstrasse,27a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586795,1219328
2505641,102883783,10112480,504032382,0,Hauptstrasse,16c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588034,1219264
2505661,102883866,10086640,504032294,0,Orpundstrasse,21e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588431,1219329
2505672,102883643,10010246,504032487,0,Bielstrasse,26a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587496,1219391
2505712,102883679,10010259,504032330,0,Mühleweg,1e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588856,1219417
2505721,102883855,10086640,504032292,0,Orpundstrasse,24b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588513,1219269
2505751,102883602,10010249,504032421,0,Erlenstrasse,41e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586408,1218771
2505754,102883745,10010263,504032137,0,Rainstrasse,27a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587087,1219494
2505759,102883652,10136717,504032408,0,Eschenweg,6a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586965,1219614
2505773,102883671,10010246,504032481,0,Bielstrasse,44a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587257,1219327
2505783,102883575,10010261,504032264,0,Pfeidstrasse,4g,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587808,1219164
2505830,102883594,10010249,504032423,0,Erlenstrasse,41c,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586416,1218773
2505839,102883660,10136717,504032407,0,Eschenweg,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586934,1219600
2505868,102883629,10109854,504032147,0,Mettgasse,12a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588209,1219367
2505874,102883853,10086640,504032297,0,Orpundstrasse,17a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588416,1219303
2505882,102883906,10057931,504032357,0,Kanalweg,22,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588028,1219100
