Adresse;PLZ;Stadt;Preis (CHF/m2/jahr);Link;Ganze Adresse;Longitude;Latitude
Stampfenbachstrasse 32;8006;Zürich;403;https://www.homegate.ch/rent/3001300012;Stampfenbachstrasse 32 8006;8.543595314025879;47.37928009033203
Stampfenbachstr. 63;8006;Zürich;420;https://www.homegate.ch/rent/3001766597;Stampfenbachstr. 63 8006;8.542074203491211;47.3811149597168
Universitätstrasse 63;8006;Zürich;365;https://www.homegate.ch/rent/3001714572;Universitätstrasse 63 8006;8.547964096069336;47.381839752197266
Ottikerstrasse 14;8006;Zürich;529.95;https://www.homegate.ch/rent/3001661700;Ottikerstrasse 14 8006;8.543998718261719;47.38561248779297
Ottikerstrasse 14;8006;Zürich;Price on request;https://www.homegate.ch/rent/3001642195;Ottikerstrasse 14 8006;8.543998718261719;47.38561248779297
Forchstrasse 280;8008;Zürich;300;https://www.homegate.ch/rent/3001451459;Forchstrasse 280 8008;8.572681427001953;47.35722351074219
Florastrasse 44;8008;Zürich;450;https://www.homegate.ch/rent/3001662265;Florastrasse 44 8008;8.552454948425293;47.36154556274414
Tuggenerstrasse;8008;Zürich;406.45;https://www.homegate.ch/rent/3001774318;Tuggenerstrasse 8008;8.555234909057617;47.35748291015625
Forchstrasse 2;8008;Zürich;400;https://www.homegate.ch/rent/3001714791;Forchstrasse 2 8008;8.554667472839355;47.36447525024414
Klausstrasse 43;8008;Zürich;350;https://www.homegate.ch/rent/3001721720;Klausstrasse 43 8008;8.55186653137207;47.359378814697266
Seefeldstrasse 134;8008;Zürich;547.57;https://www.homegate.ch/rent/3000385352;Seefeldstrasse 134 8008;8.554426193237305;47.35749816894531
Seefeldstrasse 104;8008;Zürich;504.39;https://www.homegate.ch/rent/3001733867;Seefeldstrasse 104 8008;8.552678108215332;47.359283447265625
Klausstrasse 19;8008;Zürich;460;https://www.homegate.ch/rent/3001696576;Klausstrasse 19 8008;8.549992561340332;47.35910415649414
Dufourstrasse 24;8008;Zürich;445.95;https://www.homegate.ch/rent/3001733089;Dufourstrasse 24 8008;8.547530174255371;47.36371994018555
Seefeldstrasse 277 A;8008;Zürich;450;https://www.homegate.ch/rent/3001700559;Seefeldstrasse 277 A 8008;8.563876152038574;47.348793029785156
Zeltweg 67;8008;Zürich;420;https://www.homegate.ch/rent/3001740395;Zeltweg 67 8008; 8.554261443121142;47.367088512040596
Klausstrasse 43;8008;Zürich;350;https://www.homegate.ch/rent/3001645056;Klausstrasse 43 8008;8.55186653137207;47.359378814697266
Hallenstrasse 8;8008;Zürich;595;https://www.homegate.ch/rent/3001691953;Hallenstrasse 8 8008;8.54866886138916;47.36317825317383
Wiesenstrasse 8;8008;Zürich;430;https://www.homegate.ch/rent/3001449772;Wiesenstrasse 8 8008;8.551630973815918;47.36200714111328
Seefeldstrasse 69;8008;Zürich;1114.42;https://www.homegate.ch/rent/3001261714;Seefeldstrasse 69 8008;8.551620483398438;47.3612060546875
Bellerivestrasse 203;8008;Zürich;390;https://www.homegate.ch/rent/3001166548;Bellerivestrasse 203 8008;8.557881355285645;47.35315704345703
Bellerivestrasse 203;8008;Zürich;500;https://www.homegate.ch/rent/3001136338;Bellerivestrasse 203 8008;8.557881355285645;47.35315704345703
