postal_code,Gde-Nr.,PLZ,Gemeinde,global_rad_10y_mean:W
postal_CH8303,52,8303,Bassersdorf,194.75922330097094
postal_CH1197,5725,1197,Prangins,201.8697642163662
postal_CH1267,5710,1267,Coinsins,199.9231622746187
postal_CH3965,6235,3965,Chippis,198.73744798890422
postal_CH1242,6638,1242,Satigny,200.18696255201107
postal_CH1218,6623,1218,Le Grand-Saconnex,202.9295423023579
postal_CH3432,955,3432,Lützelflüh,196.41484049930654
postal_CH8262,2963,8262,Ramsen,193.0235783633842
postal_CH8274,4651,8274,Gottlieben,194.6638002773925
postal_CH5408,4026,5408,Ennetbaden,189.5991678224688
postal_CH8153,97,8153,Rümlang,194.9061026352292
postal_CH5507,4033,5507,Mellingen,194.50485436893192
postal_CH5054,4277,5054,Moosleerau,194.13439667128995
postal_CH5025,4004,5025,Densbüren,190.91997226074906
postal_CH9300,3204,9300,Wittenbach,191.85145631067965
postal_CH4629,2575,4629,Fulenbach,193.60069348127593
postal_CH6986,5207,6986,Novaggio,187.17073509015262
postal_CH6992,5230,6992,Vernate,187.89375866851603
postal_CH6802,5238,6802,Monteceneri,178.45603328710118
postal_CH4447,2850,4447,Känerkinden,191.35006934812756
postal_CH4469,2841,4469,Anwil,190.64798890429947
postal_CH4458,2885,4458,Eptingen,190.64341192787802
postal_CH4414,2825,4414,Füllinsdorf,190.08238557558954
postal_CH5606,4194,5606,Dintikon,194.57739251040223
postal_CH7015,3733,7015,Tamins,199.33689320388342
postal_CH4112,2476,4112,Hofstetten-Flüh,191.8500693481276
postal_CH4146,2475,4146,Hochwald,190.05090152565882
postal_CH8718,3315,8718,Schänis,187.10651872399464
postal_CH5102,4206,5102,Rupperswil,193.33717059639378
postal_CH3673,614,3673,Linden,196.30388349514544
postal_CH9656,3359,9656,Wildhaus-Alt St. Johann,187.86463245492388
postal_CH8725,3341,8725,Gommiswald,193.61442441054092
postal_CH9405,3033,9405,Lutzenberg,190.67281553398058
postal_CH8585,4901,8585,Birwinken,194.6822468793344
postal_CH3296,381,3296,Arch,194.21816920943132
postal_CH6373,1505,6373,Ennetbürgen,195.0335644937587
postal_CH6112,1001,6112,Doppleschwand,190.7233009708737
postal_CH6034,1033,6034,Inwil,194.44826629681
postal_CH6037,1065,6037,Root,193.442024965326
postal_CH6016,1093,6016,Neuenkirch,190.77572815533955
postal_CH6294,1025,6294,Ermensee,194.64285714285705
postal_CH8759,1632,8759,Glarus,97.63619972260749
postal_CH2933,6787,2933,Damphreux,192.33841886269076
postal_CH2933,6793,2933,Lugnez,192.33841886269076
postal_CH3234,502,3234,Vinelz,195.97364771151172
postal_CH2874,6758,2874,Saint-Brais,0.0
postal_CH2572,742,2572,Mörigen,194.00124826629693
postal_CH2875,6751,2875,Montfaucon,0.0
postal_CH2512,756,2512,Twann-Tüscherz,192.86643550624132
postal_CH3226,500,3226,Treiten,196.51373092926474
postal_CH2923,6807,2923,Basse-Allaine,191.04590846047162
postal_CH2747,687,2747,Corcelles (BE),143.16546463245498
postal_CH2744,681,2744,Belprahon,189.8848821081832
postal_CH2742,701,2742,Perrefitte,188.9556171983357
postal_CH2807,6719,2807,Pleigne,189.82760055478496
postal_CH3766,791,3766,Boltigen,194.45423023578343
postal_CH2710,713,2710,Tavannes,188.74646324549227
postal_CH3048,362,3048,Ittigen,197.95977808599167
postal_CH3207,671,3207,Wileroltigen,198.42649098474348
postal_CH8575,4911,8575,Bürglen (TG),193.2024965325937
postal_CH6010,1059,6010,Kriens,192.9889042995841
postal_CH7208,3954,7208,Malans,194.45339805825233
postal_CH7504,3784,7504,Pontresina,197.9417475728153
postal_CH7137,3988,7137,Obersaxen Mundaun,203.83938973647724
postal_CH7162,3981,7162,Breil/Brigels,130.537170596394
postal_CH6810,5009,6810,Isone,186.08488210818314
postal_CH1957,6021,1957,Ardon,202.1528432732316
postal_CH1955,6022,1955,Chamoson,201.8316227461859
postal_CH1913,6140,1913,Saillon,202.33092926490983
postal_CH3472,424,3472,Wynigen,195.84341192787795
postal_CH6535,3834,6535,Roveredo (GR),181.24743411927886
postal_CH7438,3714,7438,Rheinwald,193.32260748959763
postal_CH3933,6294,3933,Staldenried,197.1024965325937
postal_CH6454,1207,6454,Flüelen,187.66560332870995
postal_CH6461,1211,6461,Isenthal,178.62981969486827
postal_CH5236,4110,5236,Remigen,187.54868238557555
postal_CH4313,4254,4313,Möhlin,191.194452149792
postal_CH4325,4259,4325,Schupfart,191.03287101248264
postal_CH4317,4262,4317,Wegenstetten,190.5533980582523
postal_CH5070,4163,5070,Frick,188.60582524271854
postal_CH4323,4261,4323,Wallbach,191.5165048543688
postal_CH4943,335,4943,Oeschenbach,194.05173370318983
postal_CH4955,326,4955,Gondiswil,193.07184466019413
postal_CH3324,409,3324,Hindelbank,195.32205270457692
postal_CH3800,593,3800,Unterseen,196.28585298196933
postal_CH1665,2162,1665,Bas-Intyamon,187.23952843273233
postal_CH3215,2260,3215,Gempenach,199.57156726768366
postal_CH1681,2063,1681,Billens-Hennens,201.34826629680987
postal_CH1608,2066,1608,Chapelle (Glâne),200.59833564493746
postal_CH3285,2259,3285,Galmiz,199.09070735090143
postal_CH1673,2061,1673,Auboranges,201.56144244105403
postal_CH1666,2134,1666,Grandvillard,190.0074895977807
postal_CH7187,3986,7187,Tujetsch,194.5497919556171
postal_CH3263,382,3263,Büetigen,195.06865464632446
postal_CH1172,5426,1172,Bougy-Villars,201.00249653259337
postal_CH5610,4082,5610,Wohlen (AG),194.7152565880721
postal_CH1042,5511,1042,Assens,200.75312066574216
postal_CH1424,5553,1424,Champagne,197.92718446601953
postal_CH1431,5564,1431,Novalles,196.3194174757282
postal_CH1426,5554,1426,Concise,197.4866851595007
postal_CH1183,5853,1183,Bursins,199.70943134535375
postal_CH1185,5859,1185,Mont-sur-Rolle,200.61650485436894
postal_CH1045,5680,1045,Ogens,200.4018030513176
postal_CH1377,5529,1377,Oulens-sous-Echallens,200.43772538141462
postal_CH1169,5655,1169,Yens,201.0037447988903
postal_CH1274,5728,1274,Signy-Avenex,199.82579750346736
postal_CH1031,5489,1031,Mex (VD),201.9750346740639
postal_CH1428,5566,1428,Provence,196.34882108183066
postal_CH1279,5707,1279,Chavannes-de-Bogis,200.59403606102637
postal_CH1081,5792,1081,Montpreveyres,200.2264909847436
postal_CH6690,5310,6690,Cevio,172.06074895977815
postal_CH6670,5324,6670,Avegno Gordevio,177.7313453536754
postal_CH8703,151,8703,Erlenbach (ZH),195.08543689320368
postal_CH3952,6110,3952,Leuk,209.95367545076283
postal_CH8548,218,8548,Ellikon an der Thur,193.84701803051314
postal_CH8165,93,8165,Oberweningen,194.60804438280186
postal_CH8805,138,8805,Richterswil,195.09042995839113
postal_CH8311,213,8311,Brütten,194.3160887656032
postal_CH8182,59,8182,Hochfelden,194.2765603328712
postal_CH8425,65,8425,Oberembrach,194.30083217753116
postal_CH9424,3235,9424,Rheineck,191.13384188626915
postal_CH8570,4946,8570,Weinfelden,193.73009708737868
postal_CH9216,4495,9216,Hohentannen,194.08072122052698
postal_CH4581,2465,4581,Buchegg,194.43869625520105
postal_CH6375,1501,6375,Beckenried,191.59445214979218
postal_CH1248,6625,1248,Hermance,203.11941747572797
postal_CH8834,1321,8834,Feusisberg,195.1049930651871
postal_CH3415,406,3415,Hasle bei Burgdorf,196.6694868238556
postal_CH9464,3256,9464,Rüthi (SG),191.4312066574202
postal_CH8212,2937,8212,Neuhausen am Rheinfall,191.93356449375864
postal_CH3623,940,3623,Teuffenthal (BE),189.59958391123442
postal_CH9403,3213,9403,Goldach,193.02108183079062
postal_CH8595,4641,8595,Altnau,194.35117891816907
postal_CH5034,4012,5034,Suhr,193.48030513176147
postal_CH5303,4047,5303,Würenlingen,191.95700416088752
postal_CH9523,3426,9523,Zuzwil (SG),193.10901525658787
postal_CH5503,4207,5503,Schafisheim,193.4470180305131
postal_CH8700,154,8700,Küsnacht (ZH),195.613730929265
postal_CH8315,176,8315,Lindau,194.222746185853
postal_CH6815,5198,6815,Melide,183.99986130374467
postal_CH6822,5144,6822,Arogno,186.33689320388336
postal_CH6877,5251,6877,Coldrerio,191.54368932038827
postal_CH6925,5236,6925,Collina d'Oro,191.52385575589466
postal_CH3944,6201,3944,Unterbäch,207.51456310679603
postal_CH4402,2824,4402,Frenkendorf,191.09722607489596
postal_CH4444,2859,4444,Rümlingen,186.99320388349514
postal_CH4133,2831,4133,Pratteln,191.3370319001387
postal_CH3623,932,3623,Horrenbach-Buchen,189.59958391123442
postal_CH6472,1206,6472,Erstfeld,193.94493758668543
postal_CH9542,4746,9542,Münchwilen (TG),194.07725381414704
postal_CH4584,2456,4584,Lüterswil-Gächliwil,195.37018030513173
postal_CH7000,3901,7000,Chur,191.86685159500686
postal_CH8552,4561,8552,Felben-Wellhausen,193.87850208044367
postal_CH7310,3291,7310,Bad Ragaz,198.27004160887665
postal_CH9052,3024,9052,Teufen (AR),188.7651872399447
postal_CH9100,3001,9100,Herisau,190.17586685159506
postal_CH5082,4169,5082,Kaisten,190.75783633841874
postal_CH1346,5871,1346,L'Abbaye,190.52038834951438
postal_CH6221,1097,6221,Rickenbach (LU),194.67822468793347
postal_CH6217,1128,6217,Ettiswil,173.80846047156726
postal_CH6216,1091,6216,Mauensee,193.69570041608878
postal_CH6214,1099,6214,Schenkon,192.80915395284327
postal_CH3714,563,3714,Frutigen,197.12149791955625
postal_CH3704,566,3704,Krattigen,199.72676837725382
postal_CH3633,921,3633,Amsoldingen,197.82496532593632
postal_CH3711,567,3711,Reichenbach im Kandertal,190.55020804438286
postal_CH3532,628,3532,Zäziwil,197.45547850208033
postal_CH3626,929,3626,Hilterfingen,196.46130374479887
postal_CH2943,6806,2943,Vendlincourt,191.3210818307904
postal_CH2830,6708,2830,Courrendlin,189.80083217753116
postal_CH3115,866,3115,Gerzensee,197.35228848821086
postal_CH3664,863,3664,Burgistein,193.62191400832188
postal_CH6781,5063,6781,Bedretto,192.94576976421635
postal_CH2615,445,2615,Sonvilier,187.43980582524264
postal_CH4654,2493,4654,Lostorf,191.68807212205266
postal_CH5605,4065,5605,Dottikon,194.49292649098464
postal_CH1945,6033,1945,Liddes,153.07406380027746
postal_CH3928,6287,3928,Randa,189.28710124826625
postal_CH4715,2424,4715,Herbetswil,189.8208044382803
postal_CH6467,1213,6467,Schattdorf,187.7858529819696
postal_CH5522,4077,5522,Tägerig,193.89126213592246
postal_CH5244,4093,5244,Birrhard,193.7990291262138
postal_CH4303,4252,4303,Kaiseraugst,191.57128987517333
postal_CH3375,980,3375,Inkwil,194.6033287101248
postal_CH3366,973,3366,Bettenhausen,194.8568654646324
postal_CH4923,345,4923,Wynau,193.82496532593638
postal_CH1543,5817,1543,Grandcour,198.77545076282945
postal_CH1627,2155,1627,Vaulruz,198.202635228849
postal_CH1642,2153,1642,Sorens,201.17434119278764
postal_CH1744,2177,1744,Chénens,201.44743411927882
postal_CH1762,2197,1762,Givisiez,201.0746185852983
postal_CH3213,2266,3213,Kleinbösingen,200.5124826629682
postal_CH1748,2115,1748,Torny,201.62690707350905
postal_CH1785,2257,1785,Cressier (FR),200.59625520110941
postal_CH1595,661,1595,Clavaleyres,199.52246879334263
postal_CH6404,1056,6404,Greppen,190.07031900138693
postal_CH9452,3252,9452,Eichberg,190.27420249653264
postal_CH4937,344,4937,Ursenbach,194.59902912621362
postal_CH4663,4271,4663,Aarburg,191.01386962552004
postal_CH8592,4451,8592,Uttwil,193.78099861303718
postal_CH1652,2123,1652,Botterens,192.13786407766986
postal_CH1630,2125,1630,Bulle,199.3950069348128
postal_CH2740,700,2740,Moutier,189.16962552011105
postal_CH1427,5551,1427,Bonvillars,197.01345353675444
postal_CH1864,5411,1864,Ormont-Dessus,196.62662968099843
postal_CH1326,5754,1326,Juriens,196.1424410540916
postal_CH1117,5485,1117,Grancy,199.56449375866865
postal_CH1112,5634,1112,Echichens,201.53092926490987
postal_CH1315,5498,1315,La Sarraz,198.8123439667128
postal_CH1262,5716,1262,Eysins,200.73203883495157
postal_CH1682,5674,1682,Lovatens,201.37115117891827
postal_CH1168,5652,1168,Villars-sous-Yens,201.85090152565857
postal_CH1453,5562,1453,Mauborget,194.55325936199705
postal_CH1450,5568,1450,Sainte-Croix,193.98987517337025
postal_CH1290,5708,1290,Chavannes-des-Bois,199.78002773925112
postal_CH1407,5903,1407,Bioley-Magnoux,199.046185852982
